OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_060717,Sample-Routine,Water,Surface Water,2017-06-07,15:11:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Selenium,Dissolved,0.3,ug/l,J,Final,,Actual,,,,,,,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,"U.S. EPA, Region 8 Laboratory",2017-07-12,,Lower Quantitation Limit,1,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72:181003:0945::W,Quality Control Sample-Field Blank,Water,,2018-10-03,09:45:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;Animas_SanJuan_Watershed_Storm,,USEPA_REGION8-A72,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Water Bottle,,Aluminum,Dissolved,1.7,ug/l,J;U,Final,,Actual,,,,,,"Metals - Dissolved, in Water by ICP/MS",,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,,,,,,,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_032216L,Sample-Routine,Water,Surface Water,2016-03-22,13:15:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,Not Detected,"Alkalinity, total",Total,,mg/l,U,Final,,Actual,Wet,,,,,,,,,,,,2320-B,APHA,2320 B ~ Alkalinity by Gran Titration,https://www.nemi.gov/methods/method_summary/9694/,TestAmerica Savannah,2016-03-28,,Lower Quantitation Limit,5,mg/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_082816,Sample-Routine,Water,Surface Water,2016-08-28,11:15:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Lead,Dissolved,0.72,ug/l,,Final,,Actual,Wet,,,,,,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,TestAmerica Savannah,2016-08-31,,Lower Quantitation Limit,0.3,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72:181106:1250:FM:W,Field Msr/Obs,Water,,2018-11-06,12:50:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A72,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Probe/Sensor,,Specific conductance,,305.7,uS/cm,,Final,,Actual,,,,,,USGS Flow 80.7 CFS,,,,,,,,,,,,,,,,,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72:181106:1330:SR:W,Sample-Routine,Water,,2018-11-06,13:30:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A72,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Water Bottle,,Nickel,Total,7.5,ug/l,,Final,,Actual,,,,,,Metals in Water by ICP/MS,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,,,,Lower Reporting Limit,1.0,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_042517,Sample-Routine,Water,Surface Water,2017-04-25,13:13:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Barium,Dissolved,18.8,ug/l,,Final,,Actual,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,"U.S. EPA, Region 8 Laboratory",2017-06-30,,Lower Quantitation Limit,4,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_051017,Sample-Routine,Water,Surface Water,2017-05-10,18:08:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Zinc,Total,352,ug/l,,Final,,Actual,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,"U.S. EPA, Region 8 Laboratory",2017-07-06,,Lower Quantitation Limit,50,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72:191003:1020:SR:W,Sample-Routine,Water,,2019-10-03,10:20:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A72,,,,,,,,Water Bottle,,Mercury,Total,0.5,ng/l,U,Final,,Actual,,,,,,,,,,,,,1631E,USEPA,"1631E ~ Mercury in Water by Oxidation, Purge and Trap, and CVAFS",,,,,Minimum Reporting Level,0.5,ng/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72:181003:0945::W,Quality Control Sample-Field Blank,Water,,2018-10-03,09:45:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;Animas_SanJuan_Watershed_Storm,,USEPA_REGION8-A72,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Water Bottle,,Cobalt,Dissolved,0.62,ug/l,J;U,Final,,Actual,,,,,,"Metals - Dissolved, in Water by ICP/MS",,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,,,,,,,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_041217,Sample-Routine,Water,Surface Water,2017-04-12,13:50:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,Not Detected,Nickel,Dissolved,,ug/l,U,Final,,Actual,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,"U.S. EPA, Region 8 Laboratory",2017-06-30,,Lower Quantitation Limit,4,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_051817,Sample-Routine,Water,Surface Water,2017-05-18,13:43:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Manganese,Dissolved,562,ug/l,,Final,,Actual,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,"U.S. EPA, Region 8 Laboratory",2017-07-10,,Lower Quantitation Limit,2,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_060616L,Sample-Routine,Water,Surface Water,2016-06-06,12:40:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Magnesium,Total,2300,ug/l,,Final,,Actual,Wet,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,TestAmerica Savannah,2016-06-10,,Lower Quantitation Limit,500,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_082316,Sample-Routine,Water,Surface Water,2016-08-23,11:30:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Organic carbon,Total,0.63,mg/l,J,Final,,Actual,Wet,,,,,,,,,,,,5310-B,APHA,5310 B ~ Total Organic Carbon by Combustion-Infrared Method,https://www.nemi.gov/methods/method_summary/5717/,TestAmerica Savannah,2016-08-29,,Lower Quantitation Limit,1,mg/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_061417,Sample-Routine,Water,Surface Water,2017-06-14,13:25:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Uranium,Total,0.1,ug/l,J,Final,,Actual,,,,,,,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,"U.S. EPA, Region 8 Laboratory",2017-07-14,,Lower Quantitation Limit,0.2,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_060717,Sample-Routine,Water,Surface Water,2017-06-07,15:11:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Barium,Dissolved,15.7,ug/l,,Final,,Actual,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,"U.S. EPA, Region 8 Laboratory",2017-07-12,,Lower Quantitation Limit,4,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_061417,Sample-Routine,Water,Surface Water,2017-06-14,13:25:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,Not Detected,Lead,Dissolved,,ug/l,U,Final,,Actual,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,"U.S. EPA, Region 8 Laboratory",2017-07-14,,Lower Quantitation Limit,20,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_060616L,Sample-Routine,Water,Surface Water,2016-06-06,12:40:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Mercury,Dissolved,0.00082,ug/l,,Final,,Actual,Wet,,,,,,,,,,,,1631E,USEPA,"1631E ~ Mercury in Water by Oxidation, Purge and Trap, and CVAFS",,TestAmerica Savannah,2016-06-09,,Lower Quantitation Limit,0.0005,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_042517,Sample-Routine,Water,Surface Water,2017-04-25,13:13:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,Not Detected,Vanadium,Dissolved,,ug/l,U,Final,,Actual,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,"U.S. EPA, Region 8 Laboratory",2017-06-30,,Lower Quantitation Limit,10,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_082816,Sample-Routine,Water,Surface Water,2016-08-28,11:15:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,Not Detected,Thallium,Dissolved,,ug/l,U,Final,,Actual,Wet,,,,,,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,TestAmerica Savannah,2016-08-31,,Lower Quantitation Limit,0.2,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72:181106:1330:SR:S,Sample-Routine,Sediment,,2018-11-06,13:30:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A72,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Disposable plastic scoop,,Magnesium,Total,1390,mg/kg,,Final,,Actual,,,,,,Metals in Solids by ICP-AES,,,,,,,6010C,USEPA,6010 C ~ Inductively Coupled Plasma - Atomic Emission Spectroscopy (ICP-AES),https://www.nemi.gov/methods/method_summary/4712/,,,,Lower Reporting Limit,49.7,mg/kg,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_SED_082316,Sample-Routine,Sediment,,2016-08-23,11:30:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Disposable plastic scoop,,Arsenic,Total,32,mg/kg,,Final,,Actual,Dry,,,,,,,,,,,,6020A,USEPA,6020 A ~ ICP-MS,https://www.nemi.gov/methods/method_summary/9186/,TestAmerica Savannah,2016-08-31,,Lower Quantitation Limit,0.83,mg/kg,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_032216L,Sample-Routine,Water,Surface Water,2016-03-22,13:15:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Copper,Total,21,ug/l,,Final,,Actual,Wet,,,,,,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,TestAmerica Savannah,2016-03-29,,Lower Quantitation Limit,1,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_051017,Sample-Routine,Water,Surface Water,2017-05-10,18:08:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,Not Detected,Silver,Dissolved,,ug/l,U,Final,,Actual,,,,,,,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,"U.S. EPA, Region 8 Laboratory",2017-06-12,,Lower Quantitation Limit,0.5,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_051017,Sample-Routine,Water,Surface Water,2017-05-10,18:08:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Silica,Dissolved,9200,ug/l,J,Final,,Actual,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,"U.S. EPA, Region 8 Laboratory",2017-07-10,,Lower Quantitation Limit,400,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_102615,Sample-Routine,Water,Surface Water,2015-10-26,13:49:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Zinc,Dissolved,470,ug/l,,Final,,Actual,Wet,,,,,Flow=,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,TestAmerica Savannah,2015-11-01,,Lower Quantitation Limit,20,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_SED_032216L,Sample-Routine,Sediment,,2016-03-22,13:15:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Disposable plastic scoop,,Zinc,Total,2200,mg/kg,,Final,,Actual,Dry,,,,,,,,,,,,6020A,USEPA,6020 A ~ ICP-MS,https://www.nemi.gov/methods/method_summary/9186/,TestAmerica Savannah,2016-03-25,,Lower Quantitation Limit,2.9,mg/kg,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72:181003:1020:SR:W,Sample-Routine,Water,,2018-10-03,10:20:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;Animas_SanJuan_Watershed_Storm,,USEPA_REGION8-A72,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Water Bottle,,Total Kjeldahl nitrogen,Unfiltered,0.115,mg/l,J;U,Final,,Actual,,,,,,Total Kjeldahl Nitrogen in Water Colorimetric,,,,,,,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,https://www.nemi.gov/methods/method_summary/9626/,,,,,,,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72_051817,Sample-Routine,Water,Surface Water,2017-05-18,13:43:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A72,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Molybdenum,Dissolved,13.4,ug/l,,Final,,Actual,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,"U.S. EPA, Region 8 Laboratory",2017-07-10,,Lower Quantitation Limit,5,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A72:191003:1010::W,Quality Control Sample-Field Blank,Water,,2019-10-03,10:10:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A72,,,,,,,,Water Bottle,,Arsenic,Dissolved,1,ug/l,U,Final,,Actual,,,,,,"Metals - Dissolved, in Water by ICP/MS",,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,,,,Lower Reporting Limit,1,ug/l,,STORET
