Site_No,Samp_No,Location,Analysis,CAS_NO,Analyte,Total_Or_Disolved,Result,Result_Units,Detected,Result_Qualifier,SampleDate,SampleTime,MDL,MDL_Units,Reporting_Limit,Reporting_Limit_Units,Matrix,Latitude,Longitude,QA_Comment
A8K9,GKMSW05_081215,GKM05,200.8 Metals (ICP/MS),7440-22-4,"Silver, Dissolved",D,0.1,ug/L,N,U,12-Aug-15,12:00,0.1,ug/L,1,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,GKMSW05_081215,GKM05,200.7 Metals (ICP),7440-23-5,Sodium,T,12000,ug/L,Y,,12-Aug-15,12:00,480,ug/L,1000,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,GKMSW05_081215,GKM05,200.7 Metals (ICP),7440-23-5,"Sodium, Dissolved",D,12000,ug/L,Y,,12-Aug-15,12:00,480,ug/L,1000,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,GKMSW05_081215,GKM05,200.8 Metals (ICP/MS),7440-28-0,Thallium,T,0.1,ug/L,N,U,12-Aug-15,12:00,0.1,ug/L,0.2,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,GKMSW05_081215,GKM05,200.8 Metals (ICP/MS),7440-28-0,"Thallium, Dissolved",D,0.1,ug/L,N,U,12-Aug-15,12:00,0.1,ug/L,0.2,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,GKMSW05_081215,GKM05,200.7 Metals (ICP),7429-90-5,Aluminum,T,130,ug/L,Y,J,12-Aug-15,12:00,24,ug/L,200,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,GKMSW05_081215,GKM05,200.7 Metals (ICP),7440-70-2,"Calcium, Dissolved",D,63000,ug/L,Y,,12-Aug-15,12:00,25,ug/L,500,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,GKMSW05_081215,GKM05,200.8 Metals (ICP/MS),7440-36-0,Antimony,T,0.4,ug/L,N,U,12-Aug-15,12:00,0.4,ug/L,1,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7440-41-7,Beryllium,T,0.15,ug/L,N,U,12-Aug-15,15:45,0.15,ug/L,0.4,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,GKMSW05_081215,GKM05,200.8 Metals (ICP/MS),7440-36-0,"Antimony, Dissolved",D,0.4,ug/L,N,U,12-Aug-15,12:00,0.4,ug/L,1,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,GKMSW02_081215,Bakers Bridge,200.7 Metals (ICP),7429-90-5,"Aluminum, Dissolved",D,64,ug/L,Y,J,12-Aug-15,10:50,24,ug/L,200,ug/L,Surface Water,37.454134,-107.801601,L2 Val
A8K9,GKMSW05_081215,GKM05,200.8 Metals (ICP/MS),7440-38-2,Arsenic,T,0.37,ug/L,N,U,12-Aug-15,12:00,0.37,ug/L,1,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,GKMSW05_081215,GKM05,200.8 Metals (ICP/MS),7440-38-2,"Arsenic, Dissolved",D,0.37,ug/L,N,U,12-Aug-15,12:00,0.37,ug/L,1,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,GKMSW05_081215,GKM05,200.8 Metals (ICP/MS),7440-39-3,Barium,T,47,ug/L,Y,,12-Aug-15,12:00,0.14,ug/L,2,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,GKMSW05_081215,GKM05,200.8 Metals (ICP/MS),7440-39-3,"Barium, Dissolved",D,46,ug/L,Y,,12-Aug-15,12:00,0.14,ug/L,2,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,GKMSW05_081215,GKM05,200.8 Metals (ICP/MS),7440-41-7,Beryllium,T,0.15,ug/L,N,U,12-Aug-15,12:00,0.15,ug/L,0.4,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,GKMSW05_081215,GKM05,200.8 Metals (ICP/MS),7440-41-7,"Beryllium, Dissolved",D,0.15,ug/L,N,U,12-Aug-15,12:00,0.15,ug/L,0.4,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,GKMSW05_081215,GKM05,200.8 Metals (ICP/MS),7440-43-9,Cadmium,T,0.096,ug/L,Y,J,12-Aug-15,12:00,0.043,ug/L,0.1,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,GKMSW05_081215,GKM05,200.7 Metals (ICP),7429-90-5,"Aluminum, Dissolved",D,47,ug/L,Y,J,12-Aug-15,12:00,24,ug/L,200,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,CC48_081215,CC48,200.8 Metals (ICP/MS),7440-66-6,"Zinc, Dissolved",D,2800,ug/L,Y,,12-Aug-15,15:30,2.8,ug/L,20,ug/L,Surface Water,37.819984,-107.663275,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7440-22-4,"Silver, Dissolved",D,0.1,ug/L,N,U,12-Aug-15,15:45,0.1,ug/L,1,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.7 Metals (ICP),7440-23-5,Sodium,T,1800,ug/L,Y,,12-Aug-15,15:45,480,ug/L,1000,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.7 Metals (ICP),7440-23-5,"Sodium, Dissolved",D,1800,ug/L,Y,,12-Aug-15,15:45,480,ug/L,1000,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7440-28-0,Thallium,T,0.1,ug/L,N,U,12-Aug-15,15:45,0.1,ug/L,0.2,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7440-28-0,"Thallium, Dissolved",D,0.1,ug/L,N,U,12-Aug-15,15:45,0.1,ug/L,0.2,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7440-62-2,Vanadium,T,0.3,ug/L,N,U,12-Aug-15,15:45,0.3,ug/L,1,ug/L,Surface Water,37.811202,-107.659167,L2 Val
