OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:191002:1720::W,Quality Control Sample-Field Replicate,Water,,2019-10-02,17:20:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,,,,Water Bottle,,Strontium,Total,520,ug/l,,Final,,Actual,,,,,,Metals in Water by ICP/MS,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,,,,Method Detection Level,0.5,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:190514:1000:SR:S,Sample-Routine,Sediment,,2019-05-14,10:00:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Disposable plastic scoop,,Copper,Total,300,mg/kg,,Final,,Actual,,,,,,Metals in Solids by ICP-AES,,,,,,,6010C,USEPA,6010 C ~ Inductively Coupled Plasma - Atomic Emission Spectroscopy (ICP-AES),https://www.nemi.gov/methods/method_summary/4712/,,,,Method Detection Level,1.0,mg/kg,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_032216L,Sample-Routine,Water,Surface Water,2016-03-22,10:27:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Sodium,Total,2200,ug/l,,Final,,Actual,Wet,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,TestAmerica Savannah,2016-03-29,,Lower Quantitation Limit,1000,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:181106:1045::W,Quality Control Sample-Field Replicate,Water,,2018-11-06,10:45:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Water Bottle,,Vanadium,Dissolved,0.23,ug/l,J;U,Final,,Actual,,,,,,"Metals - Dissolved, in Water by ICP/MS",,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,,,,Lower Reporting Limit,1.0,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:190605:1050::S,Quality Control Sample-Field Replicate,Sediment,,2019-06-05,10:50:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Disposable plastic scoop,,Aluminum,Total,10000,mg/kg,,Final,,Actual,,,,,,Metals in Solids by ICP-AES,,,,,,,6010C,USEPA,6010 C ~ Inductively Coupled Plasma - Atomic Emission Spectroscopy (ICP-AES),https://www.nemi.gov/methods/method_summary/4712/,,,,Lower Reporting Limit,4.9,mg/kg,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:190514:1000:SR:S,Sample-Routine,Sediment,,2019-05-14,10:00:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Disposable plastic scoop,,Cadmium,Total,16.0,mg/kg,J,Final,,Actual,,,,,,Metals in Solids by ICP-AES,,,,,,,6010C,USEPA,6010 C ~ Inductively Coupled Plasma - Atomic Emission Spectroscopy (ICP-AES),https://www.nemi.gov/methods/method_summary/4712/,,,,Method Detection Level,1.0,mg/kg,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:191002:1720:SR:W,Sample-Routine,Water,,2019-10-02,17:20:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,,,,Water Bottle,,Beryllium,Dissolved,3,ug/l,U,Final,,Actual,,,,,,"Metals - Dissolved, in Water by ICP-AES",,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,,,,Lower Reporting Limit,3,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_032216L,Sample-Routine,Water,Surface Water,2016-03-22,10:27:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,Not Detected,Vanadium,Dissolved,,ug/l,U,Final,,Actual,Wet,,,,,,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,TestAmerica Savannah,2016-03-29,,Lower Quantitation Limit,1,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_MI_082316B,Field Msr/Obs,Biological,,2016-08-23,,,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,NRSA,USEPA_REGION8,National River  and Streams Assessment Benthic Collection method,Rectangular Net,,Count,,16,count,,Final,,Actual,,,,,,,,,,,Rhithrogena,,,,,,"Great Lakes Environmental Center, Inc.",,,,,,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:191002:1720::W,Quality Control Sample-Field Replicate,Water,,2019-10-02,17:20:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,,,,Water Bottle,,Copper,Dissolved,2.3,ug/l,,Final,,Actual,,,,,,"Metals - Dissolved, in Water by ICP/MS",,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,,,,Method Detection Level,2,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:191002:1720::W,Quality Control Sample-Field Replicate,Water,,2019-10-02,17:20:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,,,,Water Bottle,,Nitrate + Nitrite,Unfiltered,0.0881,mg/l,,Final,,Actual,,,,,,"Nitrogen, Nitrate+Nitrite in Water",,,,,,,353.1,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,https://www.nemi.gov/methods/method_summary/5250/,,,,,,,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:190605:1045:SR:S,Sample-Routine,Sediment,,2019-06-05,10:45:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Disposable plastic scoop,,Percent Solids,Total,74.5,%,,Final,,Actual,,,,,,Percent Solid,,,,,,,2540-G,APHA,"2540 G ~ Total, Fixed and Volatile Solids",,,,,,,,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:190514:1000:SR:W,Sample-Routine,Water,,2019-05-14,10:00:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Water Bottle,,Barium,Total,22,ug/l,,Final,,Actual,,,,,,Metals in Water by ICP-AES,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,,,,Lower Reporting Limit,10,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:191002:1720::W,Quality Control Sample-Field Replicate,Water,,2019-10-02,17:20:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,,,,Water Bottle,,Organic carbon,Dissolved,0.6,mg/l,J,Final,,Actual,,,,,,Dissolved Organic Carbon in Water,,,,,,,415.2,USEPA,Low Level Total Organic Carbon in Water,,,,,Lower Reporting Limit,1.1,mg/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:181106:1045::W,Quality Control Sample-Field Replicate,Water,,2018-11-06,10:45:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Water Bottle,,Zinc,Total,493,ug/l,,Final,,Actual,,,,,,Metals in Water by ICP/MS,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,,,,Lower Reporting Limit,2.0,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:181106:1045:SR:W,Sample-Routine,Water,,2018-11-06,10:45:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Water Bottle,,Chloride,Total,0.904,mg/l,,Final,,Actual,,,,,,Anions in Water by Lachat Ion Chromatography,,,,,,,300,USEPA,Inorganic Anions by Ion Chromatography,https://www.nemi.gov/methods/method_summary/4680/,,,,,,,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_060616L,Sample-Routine,Water,Surface Water,2016-06-06,11:05:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Mercury,Dissolved,0.00091,ug/l,,Final,,Actual,Wet,,,,,,,,,,,,1631E,USEPA,"1631E ~ Mercury in Water by Oxidation, Purge and Trap, and CVAFS",,TestAmerica Savannah,2016-06-09,,Lower Quantitation Limit,0.0005,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:190514:1005::S,Quality Control Sample-Field Replicate,Sediment,,2019-05-14,10:05:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Disposable plastic scoop,,Copper,Total,313,mg/kg,,Final,,Actual,,,,,,Metals in Solids by ICP-AES,,,,,,,6010C,USEPA,6010 C ~ Inductively Coupled Plasma - Atomic Emission Spectroscopy (ICP-AES),https://www.nemi.gov/methods/method_summary/4712/,,,,Method Detection Level,1.0,mg/kg,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:181106:1045::W,Quality Control Sample-Field Replicate,Water,,2018-11-06,10:45:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Water Bottle,,Silver,Total,0.45,ug/l,J;U,Final,,Actual,,,,,,Metals in Water by ICP/MS,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,,,,Lower Reporting Limit,1.0,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:190514:1005::W,Quality Control Sample-Field Replicate,Water,,2019-05-14,10:05:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Water Bottle,,Selenium,Total,0.41,ug/l,J;U,Final,,Actual,,,,,,Metals in Water by ICP/MS,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,,,,Method Detection Level,5.0,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_SED_060616L,Sample-Routine,Sediment,,2016-06-06,11:05:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Disposable plastic scoop,,Potassium,Total,1300,mg/kg,,Final,,Actual,Dry,,,,,,,,,,,,6010C,USEPA,6010 C ~ Inductively Coupled Plasma - Atomic Emission Spectroscopy (ICP-AES),https://www.nemi.gov/methods/method_summary/4712/,TestAmerica Savannah,2016-06-09,,Lower Quantitation Limit,120,mg/kg,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:190514:1005::W,Quality Control Sample-Field Replicate,Water,,2019-05-14,10:05:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Water Bottle,,Organic carbon,Dissolved,1.1,mg/l,,Final,,Actual,,,,,,Dissolved Organic Carbon in Water,,,,,,,415.2,USEPA,Low Level Total Organic Carbon in Water,,,,,Lower Reporting Limit,1,mg/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_032216L,Sample-Routine,Water,Surface Water,2016-03-22,10:27:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Nickel,Total,3.2,ug/l,,Final,,Actual,Wet,,,,,,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,TestAmerica Savannah,2016-03-29,,Lower Quantitation Limit,1,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_032216,Field Msr/Obs,Water,Surface Water,2016-03-22,10:27:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Probe/Sensor,,pH,,6.84,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:191002:1720:SR:W,Sample-Routine,Water,,2019-10-02,17:20:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,,,,Water Bottle,,Sulfate,Total,126,mg/l,,Final,,Actual,,,,,,Anions in Water by Lachat Ion Chromatography,,,,,,,300,USEPA,Inorganic Anions by Ion Chromatography,https://www.nemi.gov/methods/method_summary/4680/,,,,,,,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:191002:1720::W,Quality Control Sample-Field Replicate,Water,,2019-10-02,17:20:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,,,,Water Bottle,,Lead,Total,2.2,ug/l,,Final,,Actual,,,,,,Metals in Water by ICP/MS,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,,,,Lower Reporting Limit,2.2,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:191002:1720:SR:W,Sample-Routine,Water,,2019-10-02,17:20:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,,,,Water Bottle,,Iron,Total,257,ug/l,,Final,,Actual,,,,,,Metals in Water by ICP-AES,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,,,,Lower Reporting Limit,50,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:190514:1005::W,Quality Control Sample-Field Replicate,Water,,2019-05-14,10:05:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Water Bottle,,Aluminum,Total,500,ug/l,,Final,,Actual,,,,,,Metals in Water by ICP-AES,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,,,,Lower Reporting Limit,50,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_032216L,Sample-Routine,Water,Surface Water,2016-03-22,10:27:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,Not Detected,Beryllium,Total,,ug/l,U,Final,,Actual,Wet,,,,,,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,TestAmerica Savannah,2016-03-29,,Lower Quantitation Limit,0.4,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:190605:1045:SR:W,Sample-Routine,Water,,2019-06-05,10:45:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Water Bottle,,Cobalt,Total,10,ug/l,U,Final,,Actual,,,,,,Metals in Water by ICP-AES,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,,,,Lower Reporting Limit,10,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_082316,Sample-Routine,Water,Surface Water,2016-08-23,08:30:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Zinc,Total,340,ug/l,J-,Final,,Actual,Wet,,,,,,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,TestAmerica Savannah,2016-08-26,,Lower Quantitation Limit,20,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68SE_102615,Sample-Routine,Sediment,,2015-10-26,11:20:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Disposable plastic scoop,,Zinc,Total,3100,mg/kg,,Final,,Actual,Dry,,,,,,,,,,,,6020A,USEPA,6020 A ~ ICP-MS,https://www.nemi.gov/methods/method_summary/9186/,TestAmerica Savannah,2015-11-05,,Lower Quantitation Limit,28,mg/kg,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_060616L,Sample-Routine,Water,Surface Water,2016-06-06,11:05:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Barium,Total,26,ug/l,,Final,,Actual,Wet,,,,,,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,TestAmerica Savannah,2016-06-09,,Lower Quantitation Limit,2,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_SED_060616L,Sample-Routine,Sediment,,2016-06-06,11:05:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Disposable plastic scoop,,Manganese,Total,7600,mg/kg,,Final,,Actual,Dry,,,,,,,,,,,,6020A,USEPA,6020 A ~ ICP-MS,https://www.nemi.gov/methods/method_summary/9186/,TestAmerica Savannah,2016-06-09,,Lower Quantitation Limit,24,mg/kg,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_102615,Sample-Routine,Water,Surface Water,2015-10-26,11:20:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,Not Detected,Thallium,Total,,ug/l,U,Final,,Actual,Wet,,,,,Flow=61.102 CFS,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,TestAmerica Savannah,2015-11-01,,Lower Quantitation Limit,0.2,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:181106:1045:SR:S,Sample-Routine,Sediment,,2018-11-06,10:45:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Disposable plastic scoop,,Zinc,Total,8060,mg/kg,,Final,,Actual,,,,,,Metals in Solids by ICP-AES,,,,,,,6010C,USEPA,6010 C ~ Inductively Coupled Plasma - Atomic Emission Spectroscopy (ICP-AES),https://www.nemi.gov/methods/method_summary/4712/,,,,Lower Reporting Limit,500,mg/kg,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:190605:1050::W,Quality Control Sample-Field Replicate,Water,,2019-06-05,10:50:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Water Bottle,,Nickel,Total,20,ug/l,U,Final,,Actual,,,,,,Metals in Water by ICP-AES,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,,,,Lower Reporting Limit,20,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_082316,Sample-Routine,Water,Surface Water,2016-08-23,08:30:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Manganese,Dissolved,1100,ug/l,,Final,,Actual,Wet,,,,,,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,TestAmerica Savannah,2016-08-26,,Lower Quantitation Limit,2.5,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_082316,Sample-Routine,Water,Surface Water,2016-08-23,08:30:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Molybdenum,Dissolved,1.7,ug/l,,Final,,Actual,Wet,,,,,,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,TestAmerica Savannah,2016-08-26,,Lower Quantitation Limit,1,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_082316,Sample-Routine,Water,Surface Water,2016-08-23,08:30:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,Calcium,Total,50000,ug/l,,Final,,Actual,Wet,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,TestAmerica Savannah,2016-08-26,,Lower Quantitation Limit,500,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_060616L,Sample-Routine,Water,Surface Water,2016-06-06,11:05:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Water Bottle,,"Alkalinity, total",Total,17,mg/l,,Final,,Actual,Wet,,,,,,,,,,,,2320-B,APHA,2320 B ~ Alkalinity by Gran Titration,https://www.nemi.gov/methods/method_summary/9694/,TestAmerica Savannah,2016-06-12,,Lower Quantitation Limit,5,mg/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_SED_082316,Sample-Routine,Sediment,,2016-08-23,08:30:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,FOLLOWUPGKM,USEPA_REGION8,Follow up monitoring for the GKM Release,Disposable plastic scoop,Not Detected,Organic carbon,Total,,mg/kg,U,Final,,Actual,Wet,,,,,,,,,,,,9060A,USEPA,9060 A ~ Total Organic Carbon in water and wastes by Carbonaceous Analyzer,https://www.nemi.gov/methods/method_summary/9348/,TestAmerica Savannah,2016-09-02,,Lower Quantitation Limit,4000,mg/kg,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:191002:1720::W,Quality Control Sample-Field Replicate,Water,,2019-10-02,17:20:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,,,,Water Bottle,,Molybdenum,Dissolved,5,ug/l,U,Final,,Actual,,,,,,"Metals - Dissolved, in Water by ICP/MS",,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,,,,Lower Reporting Limit,5,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68:181106:1045:SR:W,Sample-Routine,Water,,2018-11-06,10:45:00,MST,,,,,,,,,,,Animas_SanJuan_Watershed,,USEPA_REGION8-A68,,,,,WIIN_San_Juan_WM,USEPA_REGION8,WIIN Act San Juan Watershed Monitoring,Water Bottle,,Lead,Total,4.5,ug/l,,Final,,Actual,,,,,,Metals in Water by ICP/MS,,,,,,,200.8,USEPA,Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,,,,Lower Reporting Limit,1.0,ug/l,,STORET
USEPA_REGION8,USEPA Region 8,USEPA_REGION8-A68_MI_082316B,Field Msr/Obs,Biological,,2016-08-23,,,,,,,,,,,,,Animas_SanJuan_Watershed;GKM_Followup,,USEPA_REGION8-A68,,,,,NRSA,USEPA_REGION8,National River  and Streams Assessment Benthic Collection method,Rectangular Net,,Count,,1,count,,Final,,Actual,,,,,,,,,,,Phaenopsectra,,,,,,"Great Lakes Environmental Center, Inc.",,,,,,,STORET
